region_country_area,value
Portugal,58.457142857142856
Puerto Rico,44.08
Qatar,70.12857142857142
Republic of Korea,83.15714285714286
Republic of Moldova,38.142857142857146
Romania,50.94285714285714
Russian Federation,56.01428571428572
Rwanda,13.842857142857143
Réunion,20.950000000000003
Saint Helena,15.566666666666668
Saint Kitts and Nevis,59.75714285714286
Saint Lucia,49.871428571428574
Saint Vincent & Grenadines,47.82857142857143
Samoa,35.0
San Marino,62.48
Sao Tome and Principe,26.385714285714283
Saudi Arabia,59.871428571428574
Senegal,25.2
Serbia,61.583333333333336
Seychelles,51.42857142857143
Sierra Leone,7.0
Singapore,74.74285714285715
Slovakia,68.51428571428572
Slovenia,66.24285714285715
Solomon Islands,16.642857142857142
Somalia,0.9666666666666668
South Africa,43.0
South Sudan,5.033333333333333
Spain,69.11428571428571
Sri Lanka,32.38333333333333
State of Palestine,36.36
Sudan,13.899999999999999
Suriname,38.300000000000004
Sweden,84.05714285714285
Switzerland,81.67142857142858
Syrian Arab Republic,21.166666666666668
Tajikistan,7.725
Thailand,44.31428571428571
Timor-Leste,20.55
Togo,13.928571428571429
Tonga,37.42857142857143
Trinidad and Tobago,55.285714285714285
Tunisia,44.9
Turkmenistan,4.775
Tuvalu,25.4
Türkiye,49.41428571428571
Uganda,4.914285714285714
Ukraine,42.98571428571428
United Arab Emirates,74.47142857142856
United Kingdom,79.68571428571428
United Rep. of Tanzania,12.485714285714286
United States Virgin Islands,31.775
United States of America,75.60000000000001
Uruguay,57.34285714285714
Uzbekistan,40.08571428571429
Vanuatu,29.699999999999996
Venezuela (Boliv. Rep. of),27.85
Viet Nam,43.128571428571426
Wallis and Futuna Islands,6.566666666666666
Yemen,9.4
Zambia,9.914285714285715
Zimbabwe,17.514285714285712
